"","V1"
"8939","Fantastic hotel! They spoilt us. Want to go back already!!!"
"8940","Fantastic hotel! They spoilt us. Want to go back already!!!"
"8941","Extremely nice and polite and helpful staff  beach and pools were really nice  very nice breakfast  We did enjoy :-)"
"8942","very low internet quality in room and hotel  room cleaning was very shallow - and need to ask for towels replacement since they were never replaced  dinner at the hotel and food prices are very expensive compare to the surunding rest and stores (e.g. dinner for 2 for 54JD - in the rest near the hotle 10 -20JD)  the beach is not peacefull - too much noisy water activity (bouts and other motors jus few meters from the shore all day long..."
"8943","Extremely nice and polite and helpful staff  beach and pools were really nice  very nice breakfast  We did enjoy :-)"
"8944","very low internet quality in room and hotel  room cleaning was very shallow - and need to ask for towels replacement since they were never replaced  dinner at the hotel and food prices are very expensive compare to the surunding rest and stores (e.g. dinner for 2 for 54JD - in the rest near the hotle 10 -20JD)  the beach is not peacefull - too much noisy water activity (bouts and other motors jus few meters from the shore all day long..."
"8945","Very good value for money. Staff particularly good, everyone most helpful. Reception staff went that extra mile to help make our stay great."
"8946","Nothing negative from our experience."
"8947","Very good value for money. Staff particularly good, everyone most helpful. Reception staff went that extra mile to help make our stay great."
"8948","Nothing negative from our experience."
"8949","Great location "
"8950","Great location "
"8951","Wounderful place.  Very friendfull staff  close to beach, close to kite and vindserf spots  big balcony with good viev"
"8952","a little bit noise because it is very close to airport"
"8953","Wounderful place.  Very friendfull staff  close to beach, close to kite and vindserf spots  big balcony with good viev"
"8954","a little bit noise because it is very close to airport"
"8955","The hotel is really beachfront. We enjoyed the white sand, just infront La Carmella,  all over the 3 or more kilometers beach.  We will be back soon.   "
"8956","The hotel is really beachfront. We enjoyed the white sand, just infront La Carmella,  all over the 3 or more kilometers beach.  We will be back soon.   "
"8957","Waited 1hr to check in and another hour to check out. It does not have a gym or sauna. Very similar to a hostel. May have been the worst hotel I have ever stayed on."
"8958","Waited 1hr to check in and another hour to check out. It does not have a gym or sauna. Very similar to a hostel. May have been the worst hotel I have ever stayed on."
"8959","Great location, nice breakfast. Compared to the hotels in corralejo this one might be the most renovated one."
"8960","Very noisy on weekends. The animation done in the lobby can be heard in your room even if you dont want to. Noisy in the mornings aswell as you can hear other guests and staff going towards lobby or breakfast."
"8961","Great location, nice breakfast. Compared to the hotels in corralejo this one might be the most renovated one."
"8962","Very noisy on weekends. The animation done in the lobby can be heard in your room even if you dont want to. Noisy in the mornings aswell as you can hear other guests and staff going towards lobby or breakfast."
"8963","Hotel is very well situated for shops and sites. We did our exploring of the city on foot and did a considerable amount of walking which some may not find so easy with this hotels location. Staff very helpful and polite. "
"8964","none really only that this is very popular for groups and conventions so did get very busy in public areas. Breakfast was typically in this star hotel very expensive."
"8965","Hotel is very well situated for shops and sites. We did our exploring of the city on foot and did a considerable amount of walking which some may not find so easy with this hotels location. Staff very helpful and polite. "
"8966","none really only that this is very popular for groups and conventions so did get very busy in public areas. Breakfast was typically in this star hotel very expensive."
"8967","very centrally Location  good Breakfast Buffet  Room was clean"
"8968","Reception Staff (male) was not able to speak correct german  No Restaurant in Hotel  Very small Room  (it is not a real 4 Star Hotel, it is more a 3 Star Hotel with 5 Star Prices)    "
"8969","very centrally Location  good Breakfast Buffet  Room was clean"
"8970","Reception Staff (male) was not able to speak correct german  No Restaurant in Hotel  Very small Room  (it is not a real 4 Star Hotel, it is more a 3 Star Hotel with 5 Star Prices)    "
"8971","The Hotel is ran by a family of very friendly professionals. The hotel has big clean rooms, and all our requests were fullfilled at once. I chose bed only option - due to my tight schedule going back to the room for a meal at specific times was actually out of schedule- thus I can't rate catering options but I do rate kitchen facilities with a 5: all I needed is there. Well situated, quiet in a great environment is the perfect rest place. The view is spectacular; a great mix of hill and sea. Should you like to experience a more vivid evening Faliraki is more or less some half mile away - walkable distance.Thank you for the pleasant stay Despoina and Anastasia. keep up the good job! "
"8972","There is no elevator in the hotel therefore if you experience issues with stairs you should choose a ground floor appartment,"
"8973","The Hotel is ran by a family of very friendly professionals. The hotel has big clean rooms, and all our requests were fullfilled at once. I chose bed only option - due to my tight schedule going back to the room for a meal at specific times was actually out of schedule- thus I can't rate catering options but I do rate kitchen facilities with a 5: all I needed is there. Well situated, quiet in a great environment is the perfect rest place. The view is spectacular; a great mix of hill and sea. Should you like to experience a more vivid evening Faliraki is more or less some half mile away - walkable distance.Thank you for the pleasant stay Despoina and Anastasia. keep up the good job! "
"8974","There is no elevator in the hotel therefore if you experience issues with stairs you should choose a ground floor appartment,"
"8975","Very well presented hotel with polite professional and friendly staff in good location.  All hotel amenities were excellent and couldn't have wished for any more.  The food was excellent.  Previous reviews had said that the breakfasts were really good and that was true.  So much choice of food also when we ate in the hotel's Admirals Landing restaurant (buffet) in the evening. Lounge area really lovely place to relax in the evening with great views and even some entertainment, but also there were lots of other places to sit and relax if you wanted to.  Pool areas were good and never too busy either.  Definitely recommend this hotel and we would return to if we holidayed there again."
"8976","Hotel room was had no view - literally had the view of a bastion wall.  Asked if we could be repositioned but was told that no other rooms available but could be upgraded if we wanted to pay extra so we stayed put. Room toiletries were not all replenished daily, air conditioning in room could have been more powerful.  Meat in the evening buffet was over cooked and therefore tough and chewy.  Bashed my leg on the indoor swimming pool steps - I think that these could have been lit up to help avoid this."
"8977","Very well presented hotel with polite professional and friendly staff in good location.  All hotel amenities were excellent and couldn't have wished for any more.  The food was excellent.  Previous reviews had said that the breakfasts were really good and that was true.  So much choice of food also when we ate in the hotel's Admirals Landing restaurant (buffet) in the evening. Lounge area really lovely place to relax in the evening with great views and even some entertainment, but also there were lots of other places to sit and relax if you wanted to.  Pool areas were good and never too busy either.  Definitely recommend this hotel and we would return to if we holidayed there again."
"8978","Hotel room was had no view - literally had the view of a bastion wall.  Asked if we could be repositioned but was told that no other rooms available but could be upgraded if we wanted to pay extra so we stayed put. Room toiletries were not all replenished daily, air conditioning in room could have been more powerful.  Meat in the evening buffet was over cooked and therefore tough and chewy.  Bashed my leg on the indoor swimming pool steps - I think that these could have been lit up to help avoid this."
"8979","Very nice place. Great for kids. very safe and private. The staff were very helpful.near all towns. "
"8980","Very nice place. Great for kids. very safe and private. The staff were very helpful.near all towns. "
"8981","The only positives: a very low rate, and less than a mile from a MAX Transit Station"
"8982","The only positives: a very low rate, and less than a mile from a MAX Transit Station"
"8983","Food is okay of average quality and fairly priced. "
"8984","Do not be fooled the castle has few rooms so expect to stay in a building situated round the side of the castle.  These rooms require major refurbishment and hotel generally needs a good clean.  On arrival hallways where littered with dirty dishes from rooms and some rooms not even ready by 4.30 pm.  Staff seem worn out and not the most welcoming. Reception quite frosty we where attending a wedding and had evening gathering the night before which reception had no idea about and where not interested in getting the required information. Our room had holes in the linen and hair all over the shower.  Be warned if gettting married there ask to see rooms out with the castle as you may have some very disappointed guests.  This hotel generally lacks the basic quality you would expect when paying over £100 per night even in the bar area light bulbs out. Dinner waiting staff  seem to huddle round the till rather than be pro active on the restaurant floor."
"8985","Food is okay of average quality and fairly priced. "
"8986","Do not be fooled the castle has few rooms so expect to stay in a building situated round the side of the castle.  These rooms require major refurbishment and hotel generally needs a good clean.  On arrival hallways where littered with dirty dishes from rooms and some rooms not even ready by 4.30 pm.  Staff seem worn out and not the most welcoming. Reception quite frosty we where attending a wedding and had evening gathering the night before which reception had no idea about and where not interested in getting the required information. Our room had holes in the linen and hair all over the shower.  Be warned if gettting married there ask to see rooms out with the castle as you may have some very disappointed guests.  This hotel generally lacks the basic quality you would expect when paying over £100 per night even in the bar area light bulbs out. Dinner waiting staff  seem to huddle round the till rather than be pro active on the restaurant floor."
"8987","Whatever niggles I might have about the staff, the hotel always had a warm atmosphere. The setting, as just about anyone who has visited will testify, is beautiful. Dog friendly, which is unusual."
"8988","Maybe we're just not that good at service in this country. I was once a waiter - I would never have stretched over one diner to serve another! My waiter approached the table, looked at my dish and asked 'Beef? Pork?' It was beef...  If you were kind, you'd describe the décor as careworn. If you were harsh, you'd just describe it as worn.  (Why do hotels - not just this one - not give a discount for a second night when they don't have to change the towels, supply fresh sheets or replace the soap and other toiletries?)  I didn't pay full rate, but if I had, I would have felt well and truly done."
"8989","Whatever niggles I might have about the staff, the hotel always had a warm atmosphere. The setting, as just about anyone who has visited will testify, is beautiful. Dog friendly, which is unusual."
"8990","Maybe we're just not that good at service in this country. I was once a waiter - I would never have stretched over one diner to serve another! My waiter approached the table, looked at my dish and asked 'Beef? Pork?' It was beef...  If you were kind, you'd describe the décor as careworn. If you were harsh, you'd just describe it as worn.  (Why do hotels - not just this one - not give a discount for a second night when they don't have to change the towels, supply fresh sheets or replace the soap and other toiletries?)  I didn't pay full rate, but if I had, I would have felt well and truly done."
"8991","Excellent hotel with great Facilities and Restaurants."
"8992","Excellent hotel with great Facilities and Restaurants."
"8993","Good location not too close to the crowds on Jonker Street. Clean and looked newly renovated. Friendly staff."
"8994","Good location not too close to the crowds on Jonker Street. Clean and looked newly renovated. Friendly staff."
"8995","Good location   Within walking distance from all attractions  Great price"
"8996","Good location   Within walking distance from all attractions  Great price"
"8997","hotel is excellent, very clean centrslised, I think this must be 3 star at least enjoyed our stay very much"
"8998","hotel is excellent, very clean centrslised, I think this must be 3 star at least enjoyed our stay very much"
"8999","The view was awesome. Rooms were spacious and nice. They were neat and Clean."
"9000","The view was awesome. Rooms were spacious and nice. They were neat and Clean."
"9001","We have only been there for a night. Personnel was efficient and frIendly. Perhaps we missed it, but think you should offer a tour or some info on the different activities of the kibbutz if travelers are interested   ."
"9002","We have only been there for a night. Personnel was efficient and frIendly. Perhaps we missed it, but think you should offer a tour or some info on the different activities of the kibbutz if travelers are interested   ."
"9003","Big and green territory, big swimingpool, nice food (but not excelent)"
"9004","dirty and old rooms, corridors... worse beach... really the worst I've seen. Dirty, whith gray sand, old beach equipment"
"9005","Big and green territory, big swimingpool, nice food (but not excelent)"
"9006","dirty and old rooms, corridors... worse beach... really the worst I've seen. Dirty, whith gray sand, old beach equipment"
"9007","Very clean hotel, nice beach and pool!"
"9008","Very clean hotel, nice beach and pool!"
"9009","food reasonably good,good location for renfe trains at torreblanca,spa facilities and pool very good would revisit "
"9010","carpets outside the rooms could do with the steam cleaner "
"9011","food reasonably good,good location for renfe trains at torreblanca,spa facilities and pool very good would revisit "
"9012","carpets outside the rooms could do with the steam cleaner "
"9013","This hotel very nice for location and clean also near from many mall "
"9014","This hotel very nice for location and clean also near from many mall "
"9015","The best hotel I've been to.  Staff is the best and they care for every guest.  The food is great. I'm a bad eater, but every day I found something that I like. I even tried things I never ate before.  I can't find enough superlatives to describe what a great hotel it is."
"9016","The best hotel I've been to.  Staff is the best and they care for every guest.  The food is great. I'm a bad eater, but every day I found something that I like. I even tried things I never ate before.  I can't find enough superlatives to describe what a great hotel it is."
"9017","Nice clean room, friendly and helpful staff.  Its a few blocks outside the center, so it is a more quiet location."
"9018","Nice clean room, friendly and helpful staff.  Its a few blocks outside the center, so it is a more quiet location."
"9019","Personal was very good and helpful and location is good - around shops, different restaurants (cafes) and daily small food retail points were to buy beer, chips, etc. "
"9020","Personal was very good and helpful and location is good - around shops, different restaurants (cafes) and daily small food retail points were to buy beer, chips, etc. "
"9021","TV in room did not work, used towels left on floor of shared shower room, noisy throughout the entire night. will never stay at this hotel again"
"9022","TV in room did not work, used towels left on floor of shared shower room, noisy throughout the entire night. will never stay at this hotel again"
"9023","I had a lovely stay at oaks. Whenever i come to Auckland next time I would love to stay here only. I strongly recommend this place.  The room was very good, neat and clean. Staff was friendly and helpful. Food was excellent. In short everything was awesome. "
"9024","I have nothing negative to say about the place. "
"9025","I had a lovely stay at oaks. Whenever i come to Auckland next time I would love to stay here only. I strongly recommend this place.  The room was very good, neat and clean. Staff was friendly and helpful. Food was excellent. In short everything was awesome. "
"9026","I have nothing negative to say about the place. "
"9027","It is not recomind "
"9028","It is not recomind "
"9029","Fantastic experience, but expected service with the amount of price per night. "
"9030","Fantastic experience, but expected service with the amount of price per night. "
"9031","Hotel marte in the middle of puerto de la cruz , which is very convenient . Small hotel with friendly staff . "
"9032","I was happy about everything in the hotel , apart of food . Not only f  It wasn't big choice of the food  , but even simple dish as a chips wasn't cooked properly .  Fried calamari was impossible to byte . "
"9033","Hotel marte in the middle of puerto de la cruz , which is very convenient . Small hotel with friendly staff . "
"9034","I was happy about everything in the hotel , apart of food . Not only f  It wasn't big choice of the food  , but even simple dish as a chips wasn't cooked properly .  Fried calamari was impossible to byte . "
"9035","Everithing is ok"
"9036","Everithing is ok"
"9037",".The rooms need a up shining"
"9038",".The rooms need a up shining"
"9039","Good value for special rate obtained. Small single room but adequate for a short stay. Reception staff helpful and gave me a room in the quietest area as I requested and dealt with a problem I had with the tv right away. Big improvement in dining room and waiting time at breakfast and staff much friendlier than my last stay nearly 2 years ago. Would certainly return  "
"9040","Good value for special rate obtained. Small single room but adequate for a short stay. Reception staff helpful and gave me a room in the quietest area as I requested and dealt with a problem I had with the tv right away. Big improvement in dining room and waiting time at breakfast and staff much friendlier than my last stay nearly 2 years ago. Would certainly return  "
"9041","Great position and lovely views, close to the beach and shops. Very clean and tidy. Very friendly staff.  Rooms could use a bit of updating.  Would stay there again as we had a great time."
"9042","Great position and lovely views, close to the beach and shops. Very clean and tidy. Very friendly staff.  Rooms could use a bit of updating.  Would stay there again as we had a great time."
"9043","This hotel is situated in a very quiet part of Gumbet so this would be ideal for couples not sure about families as there is no entertainment for kids, the hotel is a bit dated but is very clean staff are polite but not very entertaining unless you sort of make the first move as to chat to them, there is no entertainment at all at the hotel only the barmans ipod!!    the bar closes at 11pm promptly and you cannot even buy a drink bar closes music and lights go off so you are weither forced to go out to bar street which is 10-15 minute walk away or go to bed. Drinks served at bar are Vodka, Gin and Beer yhou can get a cocktail which is Vodka "
"9044","This hotel is situated in a very quiet part of Gumbet so this would be ideal for couples not sure about families as there is no entertainment for kids, the hotel is a bit dated but is very clean staff are polite but not very entertaining unless you sort of make the first move as to chat to them, there is no entertainment at all at the hotel only the barmans ipod!!    the bar closes at 11pm promptly and you cannot even buy a drink bar closes music and lights go off so you are weither forced to go out to bar street which is 10-15 minute walk away or go to bed. Drinks served at bar are Vodka, Gin and Beer yhou can get a cocktail which is Vodka "
"9045","Professional and helpful staff. Clean and comfortable room. Icing was the very good price at the last minute. Would definitely recommend it."
"9046","Professional and helpful staff. Clean and comfortable room. Icing was the very good price at the last minute. Would definitely recommend it."
"9047","Great location, situated on the beach, big enough resort to have quiet and lively areas. Friendly and helpful staff. Good variety of bars and restaurants (Spanish a la carte was excellent). Clean rooms, mini bar replenished every day. Lots of activities at the beach included."
"9048","Entertainment hit and miss. Never sure where activities were taking place. Evening show was in either Solymar or Arena Blancas never knew which one it would be at. Advertised at one but took place at the other."
"9049","Great location, situated on the beach, big enough resort to have quiet and lively areas. Friendly and helpful staff. Good variety of bars and restaurants (Spanish a la carte was excellent). Clean rooms, mini bar replenished every day. Lots of activities at the beach included."
"9050","Entertainment hit and miss. Never sure where activities were taking place. Evening show was in either Solymar or Arena Blancas never knew which one it would be at. Advertised at one but took place at the other."
"9051","The hotel was very clean and the staff were very helpful and friendly. The pool area was quiet in the day so if you wanted to sleep you could. There was activities going on but they wern't in your face or really loud."
"9052","The hotel was very clean and the staff were very helpful and friendly. The pool area was quiet in the day so if you wanted to sleep you could. There was activities going on but they wern't in your face or really loud."
"9053","Good position, friendly and agrable staff"
"9054","Poor breakfast (low quality)  You have to pay 5 euros a day for conditioned air"
"9055","Good position, friendly and agrable staff"
"9056","Poor breakfast (low quality)  You have to pay 5 euros a day for conditioned air"
"9057","We had a brilliant stay at this hotel. I cannot fault it. The staff are first class, dinner in the restaurant was delicious and the place is spotless. We will stay again next year."
"9058","We had a brilliant stay at this hotel. I cannot fault it. The staff are first class, dinner in the restaurant was delicious and the place is spotless. We will stay again next year."
"9059","Beautiful beach and ground.  Great entertainment at night and during the day. Great staff the service was fantastic."
"9060","Beautiful beach and ground.  Great entertainment at night and during the day. Great staff the service was fantastic."
"9061","Room was small and in need of refurbishment"
"9062","Room was small and in need of refurbishment"
"9063","We were very pleased with the Hotel which was just above the harbour in a quiet area.  Friendly staff, lovely room, spotlessly clean, bed linen changed every other day, clean towels every day. Extremely good value for money. "
"9064","We were very pleased with the Hotel which was just above the harbour in a quiet area.  Friendly staff, lovely room, spotlessly clean, bed linen changed every other day, clean towels every day. Extremely good value for money. "
"9065","We felt most welcome from the moment that we arrived. The hotel has impressive public areas. Reception and concierge staff were attentive and helpful. Our room was spacious and well equipped with an excellent bathroom. An excellent standard of cleanliness was maintained. The breakfast buffet offerred a generous selection of hot and cold food with the option of freshly prepared omelette, fried eggs, pancakes and waffles made to order. Staff in all parts of the hotel provided a friendly and efficient service. The pool area provides a peaceful enviornment for recreation and relaxation."
"9066","We felt most welcome from the moment that we arrived. The hotel has impressive public areas. Reception and concierge staff were attentive and helpful. Our room was spacious and well equipped with an excellent bathroom. An excellent standard of cleanliness was maintained. The breakfast buffet offerred a generous selection of hot and cold food with the option of freshly prepared omelette, fried eggs, pancakes and waffles made to order. Staff in all parts of the hotel provided a friendly and efficient service. The pool area provides a peaceful enviornment for recreation and relaxation."
"9067","Very friendly staff "
"9068","Very friendly staff "
"9069","Absolutely great food .. Breakfast and room  Service a knockout "
"9070","Renovations in foyer very noisy"
"9071","Absolutely great food .. Breakfast and room  Service a knockout "
"9072","Renovations in foyer very noisy"
"9073","The hotel is a truely peaceful getaway, lovely grounds, rooms, and public areas, a credit thanks."
"9074","On the down side, the food, dinner in particular was not in keeping with the hotel, basic and a liitle bland.   We stayed in room 14 and the patio area outside needs a door leading to it, not a window!"
"9075","The hotel is a truely peaceful getaway, lovely grounds, rooms, and public areas, a credit thanks."
"9076","On the down side, the food, dinner in particular was not in keeping with the hotel, basic and a liitle bland.   We stayed in room 14 and the patio area outside needs a door leading to it, not a window!"
"9077","The service is the best I have ever encountered.  The Hotel has everything. We didn't need to go outside the entire stay. "
"9078","The food is good, however there where alot of people that didn't like it. I personally liked it. It was only one day I couldn't find anything I liked."
"9079","The service is the best I have ever encountered.  The Hotel has everything. We didn't need to go outside the entire stay. "
"9080","The food is good, however there where alot of people that didn't like it. I personally liked it. It was only one day I couldn't find anything I liked."
"9081","It was a really nice hotel.  The service was awesome!"
"9082","It was a really nice hotel.  The service was awesome!"
"9083","Thought it was lovely, and very handy for Brindley Place, Symphony Hall, the Rep and super new library.  Breakfast scrummy and very relaxed atmosphere in breakfast room."
"9084","Thought it was lovely, and very handy for Brindley Place, Symphony Hall, the Rep and super new library.  Breakfast scrummy and very relaxed atmosphere in breakfast room."
"9085","Negative reviews, sorry !    My friend and I stayed at The Oxford Hotel a few days ago, on arrival we went to check in at the desk. The young man was unsure of that day's menu and suggested we take a look at the restaurant to see what was on. He also had no idea of the bus route and bus stop into Oxford or, if there was a bus that could take us to the railway station on departure.   We then discovered there was no lift or elevator to get the cases up to the bedrooms, difficult for elderly guests. Our bedroom was perfectly clean and my only complaint was the net curtains were in need of a good wash. O.K. it's end of season, but the standard must be kept up. The other thing was not enough milk provided for two people, one needs a little more than one tiny capsule per cup."
"9086","Now for the Positive reviews,    Excellent breakfasts, clean and reasonably spaced rooms, quiet, walls thick enough for a decent sleep and courteous overseas staff. Morning papers provided, room service. Plenty parking spaces, oh ! and far enough away from the busy roundabout. Freebie fresh apples at the desk : )"
"9087","Negative reviews, sorry !    My friend and I stayed at The Oxford Hotel a few days ago, on arrival we went to check in at the desk. The young man was unsure of that day's menu and suggested we take a look at the restaurant to see what was on. He also had no idea of the bus route and bus stop into Oxford or, if there was a bus that could take us to the railway station on departure.   We then discovered there was no lift or elevator to get the cases up to the bedrooms, difficult for elderly guests. Our bedroom was perfectly clean and my only complaint was the net curtains were in need of a good wash. O.K. it's end of season, but the standard must be kept up. The other thing was not enough milk provided for two people, one needs a little more than one tiny capsule per cup."
"9088","Now for the Positive reviews,    Excellent breakfasts, clean and reasonably spaced rooms, quiet, walls thick enough for a decent sleep and courteous overseas staff. Morning papers provided, room service. Plenty parking spaces, oh ! and far enough away from the busy roundabout. Freebie fresh apples at the desk : )"
"9089","Check in was friendly and efficient. Concierge service excellent. They also have baggage storage, which is very handy if you are in transit and want to spend some time seeing the sights."
"9090","This is a very tired looking hotel. I stayed here about five years ago and thought the same then. Nothing has changed. The beds are uncomfortable and the general decor is unpleasant.   The other thing worth noting is the pungent smell of smoked fish in the restaurant. It overwhelms you whilst you are eating and even permeates into the lobby. It spoilt my breakfast.   Overall, this place needs some money spent on it to bring it up to modern standards. Until that happens, I shan't return."
"9091","Check in was friendly and efficient. Concierge service excellent. They also have baggage storage, which is very handy if you are in transit and want to spend some time seeing the sights."
"9092","This is a very tired looking hotel. I stayed here about five years ago and thought the same then. Nothing has changed. The beds are uncomfortable and the general decor is unpleasant.   The other thing worth noting is the pungent smell of smoked fish in the restaurant. It overwhelms you whilst you are eating and even permeates into the lobby. It spoilt my breakfast.   Overall, this place needs some money spent on it to bring it up to modern standards. Until that happens, I shan't return."
"9093","The people who own /run this hotel are rude and show total contempt for their customers .Nothing works i.e. wifi and TV .Tje staff became annoyed when I reported these faults .The room was not clean and smelt of urine The bed was not comfortable .I can find nothing positive to say about this hotel "
"9094","The people who own /run this hotel are rude and show total contempt for their customers .Nothing works i.e. wifi and TV .Tje staff became annoyed when I reported these faults .The room was not clean and smelt of urine The bed was not comfortable .I can find nothing positive to say about this hotel "
"9095","Friendly staff, nice atmosphere, fairly new. I booked a single room and got a suite for the same price, good bed/mattress"
"9096","Refurbishing not complete - even through hotel new the bathtub has stains and the wifi in the rooms is very slow"
"9097","Friendly staff, nice atmosphere, fairly new. I booked a single room and got a suite for the same price, good bed/mattress"
"9098","Refurbishing not complete - even through hotel new the bathtub has stains and the wifi in the rooms is very slow"
"9099","It's location is superb. Everything about the hotel was very good, service, security, food and facilities."
"9100","Can't think of any."
"9101","It's location is superb. Everything about the hotel was very good, service, security, food and facilities."
"9102","Can't think of any."
"9103","Very good. Not too sure I'd agree with 5 Star though. Maybe 4 Star. Other than that the Pool, staff and location are excellent. "
"9104","Very good. Not too sure I'd agree with 5 Star though. Maybe 4 Star. Other than that the Pool, staff and location are excellent. "
"9105","The staff was pleasant and helpful.  We had a lovely room, probably one of the nicest we ever had, and very clean.  The location was perfect, quiet and green, yet an easy walk to the central area.  The full Scottish breakfast was excellent.  I wish we could have stayed longer. "
"9106","The staff was pleasant and helpful.  We had a lovely room, probably one of the nicest we ever had, and very clean.  The location was perfect, quiet and green, yet an easy walk to the central area.  The full Scottish breakfast was excellent.  I wish we could have stayed longer. "
"9107","Quiet, restful and good food."
"9108","Ancient television in room. Shower could be improved. Corridors all up and down stairs."
"9109","Quiet, restful and good food."
"9110","Ancient television in room. Shower could be improved. Corridors all up and down stairs."
"9111","We were extremely happy with our two stays at the Arabian courtyard Hotel.  One on our  to the UK and the other 2 months later on our return trip to Australia.    We found the staff not only courteous and efficient but also very pleasant and friendly.   The location of the hotel was very much to our liking being in the older part of the city  which is loaded with character and atmosphere. We would very happily stay there again if we were to travel to Dubai and would heartily recommend it to friends and family  Thank you."
"9112","We were extremely happy with our two stays at the Arabian courtyard Hotel.  One on our  to the UK and the other 2 months later on our return trip to Australia.    We found the staff not only courteous and efficient but also very pleasant and friendly.   The location of the hotel was very much to our liking being in the older part of the city  which is loaded with character and atmosphere. We would very happily stay there again if we were to travel to Dubai and would heartily recommend it to friends and family  Thank you."
"9113","Very friendly and helpful staff. Excellent position, views etc."
"9114","Breakfast could have been a little more generous. "
"9115","Very friendly and helpful staff. Excellent position, views etc."
"9116","Breakfast could have been a little more generous. "
"9117","Friendly and accomodating staff."
"9118","Room internet access overpriced. £5 per day would be acceptable and I believe more people would use it."
"9119","Friendly and accomodating staff."
"9120","Room internet access overpriced. £5 per day would be acceptable and I believe more people would use it."
"9121","Clean , Well maintained ,Good breakfast, near the center and transportation.  "
"9122","Clean , Well maintained ,Good breakfast, near the center and transportation.  "
"9123","Good size of rooms, air con, nice view, very clean rooms, very good dinner "
"9124","Good size of rooms, air con, nice view, very clean rooms, very good dinner "
"9125","I cannot find fault with this hotel. Staff were very friendly, helpful and professional.  The hotel is located in a National park area and a minute walk from the Victoria Falls (Zambian side). You will save $10 if you stay at this hotel and wish to visit the falls. The hotel provide you with free passes to the falls.  This was good for us as we planned to visit the falls more than once to do the various trails (3) in between other activities. As the hotel is in a national park area you can easily spot Zebra, Giraffe's, Monkey, Baboons etc. There is a large pool area and cocktail bar.  The bar area sells snacks but there is also a restaurant, cafe and pub on-site so you have a choice of food and price.  There is also a shuttle service to its sister hotel which is also worth a visit. Shuttles are frequent and free and can be arranged at the reception desk. There is also a travel desk next to the reception desk where you can book as many or few activities as you wish. Wifi is also available. There was a mixture of friends, couples and families staying at this hotel. I would highly recommend staying here, we were not disappointed."
"9126","I cannot find fault with this hotel. Staff were very friendly, helpful and professional.  The hotel is located in a National park area and a minute walk from the Victoria Falls (Zambian side). You will save $10 if you stay at this hotel and wish to visit the falls. The hotel provide you with free passes to the falls.  This was good for us as we planned to visit the falls more than once to do the various trails (3) in between other activities. As the hotel is in a national park area you can easily spot Zebra, Giraffe's, Monkey, Baboons etc. There is a large pool area and cocktail bar.  The bar area sells snacks but there is also a restaurant, cafe and pub on-site so you have a choice of food and price.  There is also a shuttle service to its sister hotel which is also worth a visit. Shuttles are frequent and free and can be arranged at the reception desk. There is also a travel desk next to the reception desk where you can book as many or few activities as you wish. Wifi is also available. There was a mixture of friends, couples and families staying at this hotel. I would highly recommend staying here, we were not disappointed."
"9127","The hotel definitely misses a beach bar close to the Arenas Blanchas  Further, it would be nice to have a better gym."
"9128","The hotel definitely misses a beach bar close to the Arenas Blanchas  Further, it would be nice to have a better gym."
"9129","The room was not cleaned for two days, until we complained with the management. Rooms should be cleaned every day."
"9130","The room was not cleaned for two days, until we complained with the management. Rooms should be cleaned every day."
"9131","Lovely hotel overlooking the lake the lake, superb food and friendly staff"
"9132","There were no tea/coffee making facilities, no minibar and no individually regulated air conditioning units in the bedrooms as stated in your description of the bedrooms and no indoor pool only a Jacuzzi and outdoor heated pool."
"9133","Lovely hotel overlooking the lake the lake, superb food and friendly staff"
"9134","There were no tea/coffee making facilities, no minibar and no individually regulated air conditioning units in the bedrooms as stated in your description of the bedrooms and no indoor pool only a Jacuzzi and outdoor heated pool."
"9135","Great hotel, great facilities, great location, great inclusions shuttle "
"9136","Great hotel, great facilities, great location, great inclusions shuttle "
"9137","All staff very friendly and professional.  Really good facilites"
"9138","  The food overall was good, however during our evening meal there were a few mix ups with our order which could have been avoided. We chose to eat elsewhere the following evening as the experience was not as positive as we would have liked."
"9139","All staff very friendly and professional.  Really good facilites"
"9140","  The food overall was good, however during our evening meal there were a few mix ups with our order which could have been avoided. We chose to eat elsewhere the following evening as the experience was not as positive as we would have liked."
"9141","I was very pleased with the service and the room. I have arrived at 5AM in the morning and I have been received right . I have reserved a run of the house room and it was exactly what I needed, even had a great view."
"9142","Nothing really."
"9143","I was very pleased with the service and the room. I have arrived at 5AM in the morning and I have been received right . I have reserved a run of the house room and it was exactly what I needed, even had a great view."
"9144","Nothing really."
"9145","Good location and close to the beach, very frienfly staff."
"9146","On check in rooms were nor ready on time."
"9147","Good location and close to the beach, very frienfly staff."
"9148","On check in rooms were nor ready on time."
"9149","We stayed at royal heights resort for 4 nights and I have not one bad thing to say about it very friendly staff, very very clean.   We had a private pool which was very clean also. I would definitely recommend this place."
"9150","We stayed at royal heights resort for 4 nights and I have not one bad thing to say about it very friendly staff, very very clean.   We had a private pool which was very clean also. I would definitely recommend this place."
"9151","Very nice hotel, well located. Very good price for this quality of service.  Amazing breakfast."
"9152","Very nice hotel, well located. Very good price for this quality of service.  Amazing breakfast."
"9153","Good ,clean ,and reasonable room size.  Worth for money wise.  Good helping and responsible staff.  Will  Recommands to freinds and family."
